;document_no;cominant_topic;topic_perc_contrib;keywords;tokens
0;0;0;0.3253;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['acteur', 'hollywoodienne', 'angelina', 'jolie', 'surpris', 'ukrainien', 'rendant', 'cafe', 'lviv', 'samedi', 'ukrainewar']
1;1;0;0.4677;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['image', 'fracassee', 'calcul', 'froid', 'tyran', 'touchent', 'tant', 'semble', 'impossible', 'dire', 'desire', 'paix', 'plus', 'tout', 'etre', 'pro', 'poutine', 'munichois', 'naif', 'dire', 'refuser', 'escalade', 'diplomatie', 'jusqu', 'bout']
2;2;1;0.3944;france, plus, conflit, faire, monde, leurs, avant, dont, commercial, etait;['media', 'france', 'parleront', 'touscontremacron', 'mckinsey', 'mckinseygate', 'mckinseymacrongate', 'macron', 'veran', 'castex', 'occitanie', 'toulouse', 'montpellier', 'herault', 'beziers', 'gard', 'nimes', 'perpignan', 'covid']
3;3;2;0.4055;macron, ue, europe, va, missile, comme, si, candidat, amp, doit;['presidentielle', 'donne', 'resultat', 'programme', 'depuis', 'deception', 'generale', 'part', 'media', 'parlent', 'negociations', 'entre', 'parti', 'gauche', 'surtout', 'possibles', 'ministre', 'pendant', 'macron', 'fait', 'campagne', 'apres', 'avoir', 'ete', 'reelu']
4;4;4;0.3043;soutien, faut, situation, centre, sanction, krementchouk, moldavie, bombardement, crise, toutes;['paix', 'partout', 'monde', 'emploi', 'pouvoirdachat', 'retraite', 'hopital', 'public', 'solidarite', 'climat', 'ermai', 'lutte', 'combat', 'rv', 'pari', 'republique', 'defile', 'ermai', 'ermairevolte', 'fetedutravail']
5;5;1;0.3944;france, plus, conflit, faire, monde, leurs, avant, dont, commercial, etait;['riccardopetrella', 'politologue', 'economiste', 'italien', 'affirmait', 'devenue', 'activite', 'plus', 'rentable', 'apres', 'industrie', 'pharmaceutique', 'informatique', 'aucun', 'dirigeant', 'actuel', 'monde', 'arretera', 'laguerre', 'macronmenteur']
6;6;3;0.3839;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['ermai', 'rappelle', 'realite', 'humaine', 'conflit', 'destructeur', 'bas', 'provoque', 'rationnement', 'ici', 'bouleversement', 'partout', 'monde', 'change', 'paiera', 'plus', 'cher', 'nourriture', 'energie', 'plus', 'locaux', 'achetera', 'moins', 'truc', 'inutiles', 'ailleurs', 'sobriete']
7;7;2;0.3244;macron, ue, europe, va, missile, comme, si, candidat, amp, doit;['brin', 'muguet', 'puisse', 'egalement', 'etre', 'porteur', 'paix']
8;8;1;0.312;france, plus, conflit, faire, monde, leurs, avant, dont, commercial, etait;['an', 'demarrait', 'bosnie', 'herzegovine', 'fait', 'plus', 'mort', 'conflit', 'reveille', 'souvenir', 'douloureux', 'region', 'recit', 'sonia', 'bakaric', 'ex', 'correspondant', 'zagreb', 'retrouver', 'making', 'of']
9;9;0;0.5064;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['soutenue', 'occcident', 'peut', 'remporter', 'victoire', 'gaulle', 'disait', 'comme', 'chasse', 'sauf', 'lapin', 'tirent', 'lapin', 'poutine', 'encore', 'chose', 'tres', 'deplaisantes', 'terrier', 'via', 'lopinion', 'fr']
10;10;0;0.5829;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['personnage', 'etat', 'us', 'speaker', 'democrate', 'chambre', 'nancy', 'pelosi', 'rend', 'kiev', 'soutenir', 'zelensky', 'semaine', 'peine', 'apres', 'secretaires', 'etat', 'defense', 'biden', 'comment', 'mieux', 'traduire', 'engagement', 'us', 'desormais', 'massif', 'contre', 'rt']
11;11;3;0.4906;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['compositeur', 'tchaikovski', 'an', 'quasiment', 'jour', 'jour', 'tristement', 'maison', 'ete', 'totalement', 'detruite']
12;12;3;0.3839;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['fin', 'compte', 'beaucoup', 'plus', 'simple', 'endetter', 'pays', 'milliard', 'livrer', 'tour', 'bras', 'arme', 'augmenter', 'nombre', 'lit', 'reanimations', 'covid', 'inflation', 'cynisme', 'hopital', 'gwgoldnadel', 'zemmoureric', 'stanislasrig']
13;13;1;0.3886;france, plus, conflit, faire, monde, leurs, avant, dont, commercial, etait;['voulue', 'ls', 'usa', 'servent', 'provoquer', 'amp', 'entrainer', 'europe', 'complicite', 'bruxelles', 'ordre', 'ds', 'ricain', 'amp', 'ds', 'dirigeant', 'europeens', 'prets', 'sacrifier', 'leurs', 'peuple', 'ls', 'interets', 'yankees']
14;14;0;0.5753;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['mai', 'prochain', 'jour', 'celebration', 'victoire', 'urss', 'contre', 'allemagne', 'nazi', 'vladimirpoutine', 'voulait', 'celebrer', 'victoire', 'rate', 'rappel', 'mai', 'marionmarechal', 'etait', 'moscou', 'defile', 'armee']
15;15;3;0.4972;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['direct', 'premiere', 'evacuation', 'civil', 'acierie', 'azovstal', 'marioupol']
16;16;0;0.5512;poutine, contre, kiev, fait, pays, zelensky, otan, arme, president, frappe;['quand', 'ecoute', 'declarations', 'thierrybreton', 'ursulavonderleyen', 'autres', 'commissaire', 'europeens', 'vois', 'gens', 'engages', 'combat', 'vaccination', 'liberteexpression', 'loin', 'etre', 'phase', 'citoyen', 'europeens', 'parle']
17;17;3;0.4356;ukrainien, ete, russe, depuis, apres, jour, civil, mort, francais, crime;['utilise', 'usine', 'troll', 'relayer', 'propagande', 'alerte', 'londres']
18;18;2;0.2633;macron, ue, europe, va, missile, comme, si, candidat, amp, doit;['pillage', 'police', 'federation', 'escorte', 'tchetchenes', 'kadyrov', 'ver', 'republique', 'alors', 'transportent', 'tracteur', 'autres', 'machine', 'agricoles', 'vole']
