datetime,tweet_id,text,username,like_count,retweet_count,reply_count,quote_count,date,day,month,time,hour,minute,hashtags,arrobas,text_clean,tranches_like,hash_solidarite
2022-02-24 13:06:33+00:00,1496833929076436996,#Ukraine | Déclaration du Président de la République française @EmmanuelMacron https://t.co/8sKrCCwVM9,gouvernementFR,259,83,23,4,2022-02-24,24,2,13:06:33,13,6,['#Ukraine'],['@EmmanuelMacron'],#Ukraine | Déclaration du Président de la République française @EmmanuelMacron ,[201-500 likes],0
2022-02-25 14:30:00+00:00,1497217320749572101,"#Ukraine | 🇺🇦 🇫🇷 À la suite de la classification en pays « rouge » de l’Ukraine, une cellule d’écoute a été mise à disposition des ressortissants français. ⤵️
https://t.co/uvsUSfM0Oj",gouvernementFR,63,30,7,2,2022-02-25,25,2,14:30:00,14,30,['#Ukraine'],[],"#Ukraine | 🇺🇦 🇫🇷 À la suite de la classification en pays « rouge » de l’Ukraine, une cellule d’écoute a été mise à disposition des ressortissants français. ⤵️
",[1-100 likes],0
2022-02-27 17:17:40+00:00,1497984290730262528,"#PFUE2022 🇫🇷🇪🇺 | Depuis Bruxelles, suivez en direct la conférence de presse de @GDarmanin, ministre de l'Intérieur et @YlvaJohansson, commissaire européenne aux #AffairesIntérieures. 

#Ukraine https://t.co/vbl66r8QIl",gouvernementFR,41,14,0,0,2022-02-27,27,2,17:17:40,17,17,"['#PFUE', '#AffairesInt', '#Ukraine']","['@GDarmanin', '@YlvaJohansson']","#PFUE2022 🇫🇷🇪🇺 | Depuis Bruxelles, suivez en direct la conférence de presse de @GDarmanin, ministre de l'Intérieur et @YlvaJohansson, commissaire européenne aux #AffairesIntérieures. 

#Ukraine ",[1-100 likes],0
2022-02-27 17:14:43+00:00,1497983545654104073,"EN DIRECT #PFUE2022 🇫🇷🇪🇺 | Depuis Bruxelles, suivez la conférence de presse de @GDarmanin, ministre de l'Intérieur et @YlvaJohansson, commissaire européenne aux #AffairesIntérieures. #Ukraine  https://t.co/UwDAmyptcB",Interieur_Gouv,187,73,17,5,2022-02-27,27,2,17:14:43,17,14,"['#PFUE', '#AffairesInt', '#Ukraine']","['@GDarmanin', '@YlvaJohansson']","EN DIRECT #PFUE2022 🇫🇷🇪🇺 | Depuis Bruxelles, suivez la conférence de presse de @GDarmanin, ministre de l'Intérieur et @YlvaJohansson, commissaire européenne aux #AffairesIntérieures. #Ukraine  ",[101-200 likes],0
2022-03-01 14:04:05+00:00,1498660348131483649,EN DIRECT | Situation en #Ukraine : suivez la déclaration du Premier ministre @JeanCastex devant l’Assemblée nationale. https://t.co/HU73GpPR2L,gouvernementFR,271,131,100,12,2022-03-01,1,3,14:04:05,14,4,['#Ukraine'],['@JeanCastex'],EN DIRECT | Situation en #Ukraine : suivez la déclaration du Premier ministre @JeanCastex devant l’Assemblée nationale. ,[201-500 likes],0
2022-03-01 18:06:17+00:00,1498721298129866758,EN DIRECT | Situation en #Ukraine : suivez la déclaration du Premier ministre @JeanCastex devant le Sénat. https://t.co/MLVErZDw5f,gouvernementFR,97,40,208,4,2022-03-01,1,3,18:06:17,18,6,['#Ukraine'],['@JeanCastex'],EN DIRECT | Situation en #Ukraine : suivez la déclaration du Premier ministre @JeanCastex devant le Sénat. ,[1-100 likes],0
2022-03-02 19:01:50+00:00,1499097665971560448,#Ukraine | Adresse aux Français du Président de la République française @EmmanuelMacron. https://t.co/rSnWt9voe5,gouvernementFR,93,30,8,3,2022-03-02,2,3,19:01:50,19,1,['#Ukraine'],['@EmmanuelMacron'],#Ukraine | Adresse aux Français du Président de la République française @EmmanuelMacron. ,[1-100 likes],0
2022-03-03 16:20:22+00:00,1499419419931463688,"🎥#PFUE2022 🇫🇷🇪🇺 | Depuis #Bruxelles, suivez la conférence de presse de @GDarmanin, ministre de l'Intérieur et @YlvaJohansson, commissaire européenne aux #AffairesIntérieures, à l'issue du Conseil des ministres de l’Intérieur européens. @UEFrance #Ukraine https://t.co/cB39lMEszB",Interieur_Gouv,43,23,12,3,2022-03-03,3,3,16:20:22,16,20,"['#PFUE', '#Bruxelles', '#AffairesInt', '#Ukraine']","['@GDarmanin', '@YlvaJohansson', '@UEFrance']","🎥#PFUE2022 🇫🇷🇪🇺 | Depuis #Bruxelles, suivez la conférence de presse de @GDarmanin, ministre de l'Intérieur et @YlvaJohansson, commissaire européenne aux #AffairesIntérieures, à l'issue du Conseil des ministres de l’Intérieur européens. @UEFrance #Ukraine ",[1-100 likes],0
2022-03-04 18:35:37+00:00,1499815846218240006,EN DIRECT | Situation en #Ukraine : le Premier ministre @JeanCastex s’exprime depuis le centre de crise et de soutien du ministère de l’Europe et des Affaires étrangères. https://t.co/IumDDI8LWS,gouvernementFR,208,90,311,6,2022-03-04,4,3,18:35:37,18,35,['#Ukraine'],['@JeanCastex'],EN DIRECT | Situation en #Ukraine : le Premier ministre @JeanCastex s’exprime depuis le centre de crise et de soutien du ministère de l’Europe et des Affaires étrangères. ,[201-500 likes],0
2022-03-08 09:34:04+00:00,1501129110432755717,EN DIRECT | 🇺🇦🇪🇺🇫🇷 Solidarité avec les réfugiés venus d'#Ukraine : suivez l'intervention du Premier ministre @JeanCastex depuis le centre d'accueil de Paris. https://t.co/dflbWT5NhB,gouvernementFR,144,53,55,3,2022-03-08,8,3,09:34:04,9,34,['#Ukraine'],['@JeanCastex'],EN DIRECT | 🇺🇦🇪🇺🇫🇷 Solidarité avec les réfugiés venus d'#Ukraine : suivez l'intervention du Premier ministre @JeanCastex depuis le centre d'accueil de Paris. ,[101-200 likes],0
